factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3b6c029e6409f2868769871f9ed6825b15bdca15,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,2,62270011
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3b81afe2733a14f4d40404c37a70c7ddaaae4744,0xabbeed1d173541e0546b38b1c0394975be200000,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,83789582
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3d887ce4988fb46aec6e0027171f65db3526e5f1,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xcda86a272531e8640cd7f1a92c01839911b90bb0,1,70423468
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3d8c1d26defc414e51ce20939c11d7c685c3f624,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,50,71029101
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3e3289ece82ebf539aa435e0d6870e9aba6f6fb6,0x606174f62cd968d8e684c645080fa694c1d7786e,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,87766228
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3eb7e346f050c6c42bf94a69e63eaee28a602cfd,0x4515a45337f461a11ff0fe8abf3c606ae5dc00c9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,85517976
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3f0047606dcad6177c13742f1854fc8c999cd2b6,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,10,63567523
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3fd47c1ed88ead59cd37686aedcc607b0886af22,0x482deb2f7b9608a80ea91e71f06380e9891501c6,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,75436064
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x4030a25bee3a0423e74d91a21edf98d4886f3351,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,70190133
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x408d76a5aac1a8deeae5dc11021c8b9f40cd0ff8,0xc845b2894dbddd03858fd2d643b4ef725fe0849d,0x779ded0c9e1022225f8e0630b35a9b54be713736,50,95305098
