protocol,factory,pool,token0,token1,fee_tier,bin_step,creation_block
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0xa123bb698ed70b64a2f2184f17b2add501dde7b0,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0xa125af1a4704044501fe12ca9567ef1550e430e8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0xa522dd352ae7c9c9ea2f8b52962882c1b68cd53d,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0xa7c728c4be834ddaf5c49ee4ced678d8aff49de6,0x779ded0c9e1022225f8e0630b35a9b54be713736,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0xb301c86b37801ee31448fe09ef271279f6f0b068,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xbcf99c834e65e8a58090e20edc058279317865bd,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0xc64639501bcee4c48ef05a46f7bedf00b3529a99,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xcb893a28933a89b5c4ee3d02ca37524d3d0bfc97,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0xcc0f771fef9e9248ff296d127fad7bf0c69e655f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xd08c50f7e69e9aeb2867deff4a8053d9a855e26a,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0xd14663df2b3a84e0dddc2393f10c979a4244d7f8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xd34292f7585ac5a518c5ceb2d674d1423ad0569f,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0xd3d3127d9654f806370da592eb292ea0a347f0e3,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0xd6ecefcd6f94073a7837af5c791e2180b6e66b90,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0xd801d457d9cc70f6018a62885f03bb70706f59cc,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0xe39688f2036261241e08951b69f9a4812a1e0402,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
