measuring at chain_id=5000 block=98969898 block_hash=0x77e9802850e09580e8527b3ea75ed93510331e91339b8272af4ed5660ef76374 executor_code_hash=0x50f51b776f893c4c86573ec5d669a1be3e84b3eef9817960376ba59ace2826ef
v3+moe 100mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 300mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 1000mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 3000mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 10000mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 10mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 10mWMNT displace -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 30mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 100mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 300mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe+moe 10mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 30mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 100mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 300mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 1000mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 3000mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 10mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 30mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 100mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 300mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 1000mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+moe 3000mWMNT inflate -> h3:v3+moe+moe:ticks=0:bins=0 success
v3+moe+v2 10mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 30mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 100mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 300mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 1000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 3000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 10000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 30000mWMNT v2_boost -> h3:v3+moe+v2:ticks=1-5:bins=0 success
v3+moe+v2 100000mWMNT v2_boost -> h3:v3+moe+v2:ticks=1-5:bins=0 success
v3+moe+v2 300000mWMNT v2_boost -> h3:v3+moe+v2:ticks=21+:bins=1-3 success
v3+moe+v2 10mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 30mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 100mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 300mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 1000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 3000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 10000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 30000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 100000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
v3+moe+v2 300000mWMNT v2_boost -> h3:v3+moe+v2:ticks=0:bins=0 success
